Название новости,Ссылка на новость,Дата новости
Crypto Miner Marathon Pledges $500K in Matching Funds to Brink for Bitcoin Development,/tech/2023/05/21/crypto-miner-marathon-pledges-500k-in-matching-funds-to-brink-for-bitcoin-development/,"May 21, 2023"
First Mover Asia: Will Bitcoin Soon Begin a Retest of 30K?,/markets/2023/05/22/first-mover-asia-coming-soon-a-retest-of-bitcoin-at-30k/,"May 22, 2023"
Bitcoin's Trading Range Narrows to Tightest in Months,/markets/2023/05/22/bitcoins-trading-range-narrows-to-tightest-in-months/,"May 22, 2023"
NFT Marketplace DIBA Goes Live on ‘Really Good for Bitcoin’ Smart Contracts,/tech/2023/05/19/nft-marketplace-diba-goes-live-on-really-good-for-bitcoin-smart-contracts/,"May 19, 2023"
Should We Worry About Tether’s Bitcoin-Buying Plan?,/consensus-magazine/2023/05/18/should-we-worry-about-tethers-bitcoin-buying-plan/,"May 18, 2023"
Bitcoin Payments App Strike Expands to More Than 65 Countries From Three,/tech/2023/05/19/bitcoin-payments-app-strike-expands-to-65-countries-from-three/,"May 19, 2023"
The Blocksize Wars Revisited: How Bitcoin’s Civil War Still Resonates Today,/consensus-magazine/2023/05/17/the-blocksize-wars-revisited-how-bitcoins-civil-war-still-resonates-today/,"May 17, 2023"
Litecoin dejó atrás a bitcoin y ether con un repunte que registró máximos de un mes,/es/markets/2023/05/18/litecoin-dejo-atras-a-bitcoin-y-ether-con-un-repunte-que-registro-maximos-de-un-mes/,"May 18, 2023"
“Bitcoin Frogs” se convirtió en el NFT más comercializado en medio del auge de Bitcoin Ordinals,/es/markets/2023/05/18/bitcoin-frogs-se-convirtio-en-el-nft-mas-comercializado-en-medio-del-auge-de-bitcoin-ordinals/,"May 18, 2023"
Litecoin Leaves Bitcoin and Ether Behind With Rally to One-Month High,/markets/2023/05/18/litecoin-leaves-bitcoin-and-ether-behind-with-a-rally-to-one-month-high/,"May 18, 2023"
"Bitcoin Drops Below $27K as Investors Continue to Weigh Debt Ceiling Talks, Regulatory Actions",/markets/2023/05/18/bitcoin-drops-below-27k-as-investors-continue-to-weigh-debt-ceiling-talks-regulatory-actions/,"May 18, 2023"
Attendance at World's Largest Bitcoin Conference Down by Half as 'Crypto Winter' Drags On,/tech/2023/05/18/miami-bitcoin-conference-flags-attendance-down-by-half-as-crypto-winter-drags-on/,"May 18, 2023"
"First Mover Asia: Traders Long on Bitcoin Despite Debt Ceiling Challenges, Dark U.S. Regulatory Clouds",/markets/2023/05/19/first-mover-asia-traders-long-on-bitcoin-despite-debt-ceiling-challenges-dark-us-regulatory-clouds/,"May 19, 2023"
Bitcoin and Broader Crypto Prices Little-Changed in Eventful News Week,/markets/2023/05/19/bitcoin-and-broader-crypto-prices-little-changed-in-eventful-news-week/,"May 19, 2023"
Pepe-Themed ‘Bitcoin Frogs’ Becomes Most Traded NFT Amid Bitcoin Ordinals Hype,/markets/2023/05/18/pepe-themed-bitcoin-frogs-becomes-most-traded-nft-amid-bitcoin-ordinals-hype/,"May 18, 2023"
Featured Story |  Should We Worry About Tether’s Bitcoin-Buying Plan?,/podcasts/markets-daily/featured-story-should-we-worry-about-tethers-bitcoin-buying-plan/,"May 20, 2023"
"First Mover Asia: Biden’s Tough Talk, Tether’s Bitcoin Bet Not Moving Crypto",/markets/2023/05/18/first-mover-asia-bidens-tough-talk-tethers-bitcoin-bet-not-moving-crypto/,"May 18, 2023"
Bitcoin Mining Rig Maker MicroBT Unveils Most Powerful Machine Yet,/tech/2023/05/18/bitcoin-mining-rig-maker-microbt-unveils-most-powerful-machine-yet/,"May 18, 2023"
Bitcoin Is a Threat to the Energy-Use Status Quo – and That’s a Good Thing,/consensus-magazine/2023/05/16/bitcoin-is-a-threat-to-the-energy-use-status-quo-and-thats-a-good-thing/,"May 16, 2023"
First Mover Americas: Bitcoin Rebounds Amid Optimism on Debt-Ceiling,/markets/2023/05/18/first-mover-americas-axie-infinity-rallies-after-apple-app-store-debut/,"May 18, 2023"
Bitcoin Hovers Below $27K as Fed Chair Powell Makes Modestly Dovish Comments,/markets/2023/05/19/bitcoin-hovers-below-27k-as-fed-chair-powell-makes-modestly-dovish-comments/,"May 19, 2023"
Un millón de billeteras individuales ya poseen al menos un bitcoin,/es/markets/2023/05/16/un-millon-de-billeteras-individuales-ya-poseen-al-menos-un-bitcoin/,"May 16, 2023"
U.S. Bitcoin Corp to Host 150K Crypto Mining Rigs,/business/2023/05/18/us-bitcoin-corp-to-host-150k-crypto-mining-rigs/,"May 18, 2023"
Bitcoin in Stasis Below $27K Ahead of Powell Speech,/markets/2023/05/19/bitcoin-in-stasis-below-26k-ahead-of-powell-speech/,"May 19, 2023"
What Does the Debt Limit Showdown Mean for Bitcoin?,/consensus-magazine/2023/05/17/what-does-the-debt-limit-showdown-mean-for-bitcoin/,"May 17, 2023"
One Million Individual Wallets Now Hold a Whole Bitcoin,/tech/2023/05/16/one-million-individual-wallets-now-hold-a-whole-bitcoin/,"May 16, 2023"
"Bitcoin-Ether Correlation Weakest Since 2021, Hints at Regime Change in Crypto Market",/markets/2023/05/16/bitcoin-ether-correlation-weakens-to-lowest-since-2021-hints-at-regime-change-in-crypto-market/,"May 16, 2023"
Ether Rebounds Versus Bitcoin in Relatively Quiet Trade,/markets/2023/05/17/ether-rebounds-versus-bitcoin-in-relatively-quiet-trade/,"May 17, 2023"
Tether dijo que comprará bitcoin para sus reservas de stablecoin utilizando ganancias obtenidas,/es/business/2023/05/17/tether-dijo-que-comprara-bitcoin-para-sus-reservas-de-stablecoin-utilizando-ganancias-obtenidas/,"May 17, 2023"
BRC-20 Explained: How Tokens on Bitcoin Work and Why They Are Controversial,/learn/brc-20-explained-how-tokens-on-bitcoin-work-and-why-they-are-controversial/,"May 15, 2023"
Tether Says It Will Buy Bitcoin for Stablecoin Reserves Using Realized Profits,/business/2023/05/17/tether-says-it-will-buy-bitcoin-for-stablecoin-reserves-using-realized-profits/,"May 17, 2023"
"First Mover Asia: Bitcoin, Ether Prices Stuck in 'Wind Tunnel'",/markets/2023/05/16/first-mover-asia-bitcoin-ether-prices-stuck-in-wind-tunnel/,"May 16, 2023"
Peter Thiel Backs Bitcoin Startup River in $35M Round,/business/2023/05/16/peter-thiel-backs-bitcoin-startup-river-in-35m-round/,"May 16, 2023"
Coinbase Praises Canada’s Crypto Approach; Ledger’s New Bitcoin Key Recovery Feature Debate Swirls,/podcasts/coindesk-podcast-network/coinbase-praises-canadas-crypto-approach-ledgers-new-bitcoin-key-recovery-feature-debate-swirls/,"May 19, 2023"
Lightning Labs Releases 'Better' Version of Token Minting on Bitcoin After BRC-20s Clog System,/tech/2023/05/16/lightning-labs-releases-better-version-of-token-minting-on-bitcoin-after-brc-20s-clog-system/,"May 16, 2023"
Michael Saylor Looking at Bitcoin Ordinals for App Development: Decrypt,/video/michael-saylor-looking-at-bitcoin-ordinals-for-app-development-decrypt/,"May 19, 2023"
"Bitcoin Drops Below $27K Amid Debt Ceiling Talks, Regulatory Actions",/video/bitcoin-drops-below-dollar27k-amid-debt-ceiling-talks-regulatory-actions/,"May 19, 2023"
Is Ledger’s New Bitcoin Key Recovery Feature Safe? Experts Have Doubts,/consensus-magazine/2023/05/19/is-ledgers-new-bitcoin-key-recovery-feature-safe-experts-have-doubts/,"May 19, 2023"
"Bitcoin Rewards Company Fold Expands to El Salvador, Brushing Off Jump in On-chain Fees",/tech/2023/05/15/bitcoin-rewards-company-fold-expands-to-el-salvador-brushing-off-jump-in-on-chain-fees/,"May 15, 2023"
"First Mover Asia: Bitcoin Regains $27K Amid Encouraging Macro, Technical Signs",/markets/2023/05/15/first-mover-asia-bitcoin-regains-27k-amid-encouraging-macro-technical-signs/,"May 15, 2023"
